X,Y,Z,Activity,,,
0.737,-0.645,-0.002,0,,,
0.737,-0.645,-0.002,0,,,
0.737,-0.645,-0.002,0,,,
0.719,-0.654,-0.001,0,,,
0.719,-0.654,-0.001,0,,,
0.716,-0.659,-0.005,0,,,
0.708,-0.654,-0.03,0,,,
0.708,-0.654,-0.03,0,,,
0.704,-0.637,-0.031,0,,,
0.757,-0.584,0,0,,,
0.775,-0.734,0.089,0,,,
0.775,-0.734,0.089,0,,,
0.759,-0.755,0.086,0,,,
0.69,-0.705,0.066,0,,,
0.69,-0.705,0.066,0,,,
0.681,-0.683,0.068,0,,,
0.654,-0.615,-0.015,0,,,
0.654,-0.615,-0.015,0,,,
0.654,-0.615,-0.015,0,,,
0.745,-0.615,0.004,0,,,
0.745,-0.615,0.004,0,,,
0.76,-0.616,0.01,0,,,
0.793,-0.623,0.022,0,,,
0.793,-0.623,0.022,0,,,
0.793,-0.623,0.022,0,,,
0.8,-0.611,0.048,0,,,
0.8,-0.611,0.048,0,,,
0.798,-0.612,0.052,0,,,
0.764,-0.654,0.035,0,,,
0.764,-0.654,0.035,0,,,
0.754,-0.656,0.027,0,,,
0.723,-0.66,0.005,0,,,
0.723,-0.66,0.005,0,,,
0.719,-0.657,0.005,0,,,
0.726,-0.647,0.016,0,,,
0.726,-0.647,0.016,0,,,
0.73,-0.645,0.02,0,,,
0.748,-0.653,0.029,0,,,
0.748,-0.653,0.029,0,,,
0.749,-0.658,0.029,0,,,
0.732,-0.665,0.031,0,,,
0.732,-0.665,0.031,0,,,
0.732,-0.665,0.031,0,,,
0.719,-0.661,0.027,0,,,
0.719,-0.661,0.027,0,,,
0.718,-0.659,0.029,0,,,
0.728,-0.648,0.038,0,,,
0.732,-0.648,0.04,0,,,
0.732,-0.648,0.04,0,,,
0.74,-0.633,0.049,0,,,
0.739,-0.628,0.051,0,,,
0.739,-0.628,0.051,0,,,
0.752,-0.628,0.051,0,,,
0.752,-0.628,0.051,0,,,
0.753,-0.631,0.05,0,,,
0.748,-0.637,0.045,0,,,
0.746,-0.636,0.044,0,,,
0.746,-0.636,0.044,0,,,
0.757,-0.636,0.035,0,,,
0.759,-0.635,0.036,0,,,
0.759,-0.635,0.036,0,,,
0.746,-0.634,0.036,0,,,
0.735,-0.632,0.041,0,,,
0.735,-0.632,0.041,0,,,
0.736,-0.635,0.038,0,,,
0.754,-0.647,0.028,0,,,
0.754,-0.647,0.028,0,,,
0.753,-0.65,0.028,0,,,
0.732,-0.65,0.026,0,,,
0.732,-0.65,0.026,0,,,
0.726,-0.647,0.029,0,,,
0.724,-0.649,0.023,0,,,
0.724,-0.649,0.023,0,,,
0.727,-0.65,0.026,0,,,
0.738,-0.652,0.022,0,,,
0.738,-0.652,0.022,0,,,
0.743,-0.654,0.024,0,,,
0.759,-0.646,0.024,0,,,
0.759,-0.646,0.024,0,,,
0.758,-0.639,0.024,0,,,
0.747,-0.62,0.015,0,,,
0.75,-0.646,0.021,0,,,
0.75,-0.646,0.021,0,,,
0.754,-0.65,0.024,0,,,
0.76,-0.647,0.027,0,,,
0.759,-0.646,0.026,0,,,
0.759,-0.646,0.026,0,,,
